task,method,display_name,seed,n_steps_logged,stats_path,adaptive_preserve_drift_mean,adaptive_preserve_drift_max,adaptive_preserve_weight_mean,adaptive_preserve_weight_max,adaptive_edit_weight_mean,adaptive_edit_weight_max,adaptive_projection_norm_mean,adaptive_projection_norm_max,adaptive_clean_conflict_score_mean,adaptive_clean_conflict_score_max,adaptive_preserve_clean_correction_norm_mean,adaptive_preserve_clean_correction_norm_max,adaptive_edit_progress_mean,adaptive_edit_progress_max,adaptive_edit_change_rms_mean,adaptive_edit_change_rms_max
cat_crown,support_v3_fixed,Fixed DeCE displacement,10,24,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_10/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cat_crown,support_v3_fixed,Fixed DeCE displacement,11,24,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_11/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cat_crown,support_v3_fixed,Fixed DeCE displacement,12,24,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_12/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cat_crown,support_v3_controller_rmsgap,DeCE-RF,10,24,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/stats.json,0.2908,0.5283,1.2965,1.6500,1.0985,1.5500,0.0003,0.0007,0.0145,0.0725,6.2440,19.7287,0.3828,1.0003,0.6464,0.7796
cat_crown,support_v3_controller_rmsgap,DeCE-RF,11,24,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_11/stats.json,0.2936,0.5291,1.3003,1.6500,1.1072,1.5500,0.0127,0.0408,0.8854,2.5843,6.3502,19.6491,0.3983,1.0002,0.6342,0.7606
cat_crown,support_v3_controller_rmsgap,DeCE-RF,12,24,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/stats.json,0.2937,0.5291,1.3004,1.6500,1.1123,1.5500,0.0136,0.0400,0.9105,2.5760,6.3548,19.6491,0.4044,1.0002,0.6319,0.7481
dog_bow_tie_phase2,support_v3_fixed,Fixed DeCE displacement,10,24,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_fixed/seed_10/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
dog_bow_tie_phase2,support_v3_fixed,Fixed DeCE displacement,11,24,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_fixed/seed_11/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
dog_bow_tie_phase2,support_v3_fixed,Fixed DeCE displacement,12,24,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_fixed/seed_12/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
dog_bow_tie_phase2,support_v3_controller_rmsgap,DeCE-RF,10,24,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_10/stats.json,0.2704,0.4279,1.2601,1.6197,1.1593,1.5500,0.0327,0.0890,1.5878,7.1430,4.1981,10.7130,0.4832,1.0002,0.5647,0.5916
dog_bow_tie_phase2,support_v3_controller_rmsgap,DeCE-RF,11,24,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_11/stats.json,0.2704,0.4279,1.2600,1.6197,1.1594,1.5500,0.0327,0.0936,1.5814,6.9483,4.1973,10.7130,0.4833,1.0002,0.5657,0.5924
dog_bow_tie_phase2,support_v3_controller_rmsgap,DeCE-RF,12,24,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_12/stats.json,0.2705,0.4279,1.2602,1.6197,1.1588,1.5500,0.0325,0.0888,1.5606,7.2597,4.2025,10.7130,0.4828,1.0002,0.5655,0.5921
dog_front_sunglasses_phase2,support_v3_fixed,Fixed DeCE displacement,10,24,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_fixed/seed_10/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
dog_front_sunglasses_phase2,support_v3_fixed,Fixed DeCE displacement,11,24,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_fixed/seed_11/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
dog_front_sunglasses_phase2,support_v3_fixed,Fixed DeCE displacement,12,24,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_fixed/seed_12/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
dog_front_sunglasses_phase2,support_v3_controller_rmsgap,DeCE-RF,10,24,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_10/stats.json,0.2732,0.4148,1.2674,1.5871,1.1623,1.5500,0.0981,0.3429,4.8348,32.4411,4.2839,9.7307,0.4926,1.0007,0.4714,0.5547
dog_front_sunglasses_phase2,support_v3_controller_rmsgap,DeCE-RF,11,24,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_11/stats.json,0.2731,0.4148,1.2671,1.5871,1.1649,1.5500,0.0981,0.3826,4.8368,36.1356,4.2769,9.7307,0.4953,1.0008,0.4717,0.5547
dog_front_sunglasses_phase2,support_v3_controller_rmsgap,DeCE-RF,12,24,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_12/stats.json,0.2731,0.4148,1.2673,1.5871,1.1632,1.5500,0.0977,0.3463,4.6936,32.6542,4.2813,9.7307,0.4903,1.0005,0.4712,0.5570
bowl_apple_inside,support_v3_fixed,Fixed DeCE displacement,10,24,outputs/pretty_matrix/bowl_apple_inside/support_v3_fixed/seed_10/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bowl_apple_inside,support_v3_fixed,Fixed DeCE displacement,11,24,outputs/pretty_matrix/bowl_apple_inside/support_v3_fixed/seed_11/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bowl_apple_inside,support_v3_fixed,Fixed DeCE displacement,12,24,outputs/pretty_matrix/bowl_apple_inside/support_v3_fixed/seed_12/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bowl_apple_inside,support_v3_controller_rmsgap,DeCE-RF,10,24,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_10/stats.json,0.2671,0.4291,1.2516,1.6227,1.1115,1.5500,0.0573,0.1354,2.1011,5.9653,4.1448,10.9962,0.3959,1.0001,0.5257,0.6087
bowl_apple_inside,support_v3_controller_rmsgap,DeCE-RF,11,24,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_11/stats.json,0.2677,0.4327,1.2524,1.6318,1.1287,1.5500,0.0451,0.1471,0.9181,12.1178,4.1568,11.2671,0.4031,1.0000,0.5153,0.5782
bowl_apple_inside,support_v3_controller_rmsgap,DeCE-RF,12,24,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_12/stats.json,0.2679,0.4327,1.2528,1.6318,1.1280,1.5500,0.0442,0.1487,0.9121,12.2104,4.1661,11.2671,0.4028,1.0000,0.5159,0.5774
white_bowl_orange_tabletop_phase2,support_v3_fixed,Fixed DeCE displacement,10,24,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_fixed/seed_10/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
white_bowl_orange_tabletop_phase2,support_v3_fixed,Fixed DeCE displacement,11,24,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_fixed/seed_11/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
white_bowl_orange_tabletop_phase2,support_v3_fixed,Fixed DeCE displacement,12,24,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_fixed/seed_12/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
white_bowl_orange_tabletop_phase2,support_v3_controller_rmsgap,DeCE-RF,10,24,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_10/stats.json,0.1410,0.2990,1.0281,1.2976,1.1853,1.5500,0.0032,0.0161,0.1040,0.9561,0.3243,3.7163,0.4672,1.0010,0.4356,0.5302
white_bowl_orange_tabletop_phase2,support_v3_controller_rmsgap,DeCE-RF,11,24,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_11/stats.json,0.1418,0.3018,1.0301,1.3046,1.3188,1.5500,0.0018,0.0062,0.0666,0.2940,0.3550,3.9199,0.5874,1.0000,0.3295,0.3505
white_bowl_orange_tabletop_phase2,support_v3_controller_rmsgap,DeCE-RF,12,24,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_12/stats.json,0.1418,0.3018,1.0302,1.3046,1.3195,1.5500,0.0019,0.0061,0.0686,0.2909,0.3562,3.9199,0.5871,1.0000,0.3279,0.3478
brown_bowl_lemon_phase2,support_v3_fixed,Fixed DeCE displacement,10,24,outputs/pretty_matrix/brown_bowl_lemon_phase2/support_v3_fixed/seed_10/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
brown_bowl_lemon_phase2,support_v3_fixed,Fixed DeCE displacement,11,24,outputs/pretty_matrix/brown_bowl_lemon_phase2/support_v3_fixed/seed_11/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
brown_bowl_lemon_phase2,support_v3_fixed,Fixed DeCE displacement,12,24,outputs/pretty_matrix/brown_bowl_lemon_phase2/support_v3_fixed/seed_12/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
brown_bowl_lemon_phase2,support_v3_controller_rmsgap,DeCE-RF,10,24,outputs/pretty_matrix/brown_bowl_lemon_phase2/support_v3_controller_rmsgap/seed_10/stats.json,0.2139,0.3519,1.1276,1.4298,1.1493,1.5500,0.0201,0.1202,-2.0881,11.0497,1.6606,6.2102,0.4498,1.0009,0.5374,0.6067
brown_bowl_lemon_phase2,support_v3_controller_rmsgap,DeCE-RF,11,24,outputs/pretty_matrix/brown_bowl_lemon_phase2/support_v3_controller_rmsgap/seed_11/stats.json,0.2218,0.3620,1.1421,1.4551,1.1518,1.5500,0.0363,0.0960,1.4868,6.1394,1.9027,6.8401,0.4424,1.0007,0.4837,0.5811
brown_bowl_lemon_phase2,support_v3_controller_rmsgap,DeCE-RF,12,24,outputs/pretty_matrix/brown_bowl_lemon_phase2/support_v3_controller_rmsgap/seed_12/stats.json,0.2218,0.3620,1.1420,1.4551,1.1518,1.5500,0.0354,0.0940,1.4842,6.2183,1.9009,6.8401,0.4419,1.0008,0.4826,0.5811
tshirt_star,support_v3_fixed,Fixed DeCE displacement,10,24,outputs/pretty_matrix/tshirt_star/support_v3_fixed/seed_10/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
tshirt_star,support_v3_fixed,Fixed DeCE displacement,11,24,outputs/pretty_matrix/tshirt_star/support_v3_fixed/seed_11/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
tshirt_star,support_v3_fixed,Fixed DeCE displacement,12,24,outputs/pretty_matrix/tshirt_star/support_v3_fixed/seed_12/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
tshirt_star,support_v3_controller_rmsgap,DeCE-RF,10,24,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_10/stats.json,0.1917,0.3349,1.3203,1.6500,1.2321,1.5500,0.0298,0.0798,1.3776,5.3375,2.2025,7.3561,0.5784,1.0008,0.5671,0.6664
tshirt_star,support_v3_controller_rmsgap,DeCE-RF,11,24,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_11/stats.json,0.1955,0.3354,1.3377,1.6500,1.2125,1.5500,0.1435,0.4659,6.9268,29.2604,2.3048,7.3414,0.5564,1.0006,0.5401,0.6612
tshirt_star,support_v3_controller_rmsgap,DeCE-RF,12,24,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_12/stats.json,0.1956,0.3354,1.3378,1.6500,1.2145,1.5500,0.1464,0.4739,6.9199,29.7574,2.3082,7.3414,0.5593,1.0007,0.5404,0.6625
mug_heart,support_v3_fixed,Fixed DeCE displacement,10,24,outputs/pretty_matrix/mug_heart/support_v3_fixed/seed_10/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
mug_heart,support_v3_fixed,Fixed DeCE displacement,11,24,outputs/pretty_matrix/mug_heart/support_v3_fixed/seed_11/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
mug_heart,support_v3_fixed,Fixed DeCE displacement,12,24,outputs/pretty_matrix/mug_heart/support_v3_fixed/seed_12/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
mug_heart,support_v3_controller_rmsgap,DeCE-RF,10,24,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_10/stats.json,0.1588,0.2317,1.2046,1.5027,1.1751,1.5500,0.0000,0.0000,-0.0000,0.0000,1.0973,2.7645,0.6369,1.0044,1.1536,2.0835
mug_heart,support_v3_controller_rmsgap,DeCE-RF,11,24,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_11/stats.json,0.1650,0.2304,1.2291,1.4968,1.2007,1.5500,0.0201,0.0829,0.5428,4.8672,1.2353,2.6536,0.4992,0.9994,0.4968,0.5753
mug_heart,support_v3_controller_rmsgap,DeCE-RF,12,24,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_12/stats.json,0.1652,0.2304,1.2299,1.4968,1.2026,1.5500,0.0196,0.0781,0.5815,4.5841,1.2409,2.6536,0.5027,1.0014,0.5006,0.5801
tote_leaf,support_v3_fixed,Fixed DeCE displacement,10,24,outputs/pretty_matrix/tote_leaf/support_v3_fixed/seed_10/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
tote_leaf,support_v3_fixed,Fixed DeCE displacement,11,24,outputs/pretty_matrix/tote_leaf/support_v3_fixed/seed_11/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
tote_leaf,support_v3_fixed,Fixed DeCE displacement,12,24,outputs/pretty_matrix/tote_leaf/support_v3_fixed/seed_12/stats.json,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
tote_leaf,support_v3_controller_rmsgap,DeCE-RF,10,24,outputs/pretty_matrix/tote_leaf/support_v3_controller_rmsgap/seed_10/stats.json,0.2160,0.4349,1.3013,1.6500,1.1106,1.5500,0.0001,0.0005,-0.0076,0.0182,3.1240,13.5262,0.3499,1.0023,0.4581,0.8150
tote_leaf,support_v3_controller_rmsgap,DeCE-RF,11,24,outputs/pretty_matrix/tote_leaf/support_v3_controller_rmsgap/seed_11/stats.json,0.2160,0.4349,1.3013,1.6500,1.1041,1.5500,0.0001,0.0005,-0.0074,0.0191,3.1241,13.5262,0.3806,1.0003,0.4617,0.7959
